Brand/Title,Platform,Date,Campaign,Optimization,Change(s),Optimization Score,Results/Next step,Date Change(s) was made,Optimization made by
Sigma Solutions,SEM,2024-11-13,CL_Retargeting_Special_Q223,Decreased bid for age group 18-24 by -5%,"Previous bid: $1.50, New bid: $2.00",96%,Implemented successfully,2024-11-13,John D.
Atlas Industries,Bing,2024-05-31,FR_Awareness_Special_Feb22,Increased bid for top performing keywords by 25%,"Previous bid: $1.50, New bid: $2.00",88%,Under observation,2024-05-31,Mike R.
Omega Global,SEM,2023-12-08,PDD_Brand_Seasonal_Jan23,Created 2 new ad variations for testing,Updated ad copy and CTAs,94%,Under observation,2023-12-08,Emma L.
Gamma Brand,SEM,2023-12-28,GDC_Awareness_Special_Q223,Updated CPA target from $93 to $59,Redistributed budget across campaigns,95%,Implemented successfully,2023-12-28,Emma L.
Orion Systems,Bing,2024-07-11,FSG_Awareness_Premium_Jul23,Paused creative Version 3 and launched new variant,Created 3 new ad variations,98%,Under observation,2024-07-11,Emma L.
Prime Direct,Bing,2024-04-14,UWK_Awareness_Value_Apr23,Paused creative Version 1 and launched new variant,Updated ad copy and CTAs,88%,Under observation,2024-04-14,John D.
Sigma Corp,Bing,2024-07-24,PZR_Retargeting_Special_Jul23,Paused ad group Group 5 due to high CPA,Added 25 negative keywords,85%,Under observation,2024-07-24,Sarah M.
Vector Partners,Bing,2024-08-23,NGX_Prospecting_Value_Dec23,Decreased bid for age group 55-64 by -15%,Adjusted age targeting by +10%,85%,Under observation,2024-08-23,Sarah M.
Atlas Industries,Social,2024-06-06,FR_Engagement_Value_Q322,Adjusted daily budget from $150 to $377,Daily budget adjusted from $200 to $300,94%,Under observation,2024-06-06,Mike R.
Iris Group,Bing,2024-06-19,YC_Conversion_Premium_Q124,Adjusted daily budget from $414 to $266,Daily budget adjusted from $200 to $300,85%,Implemented successfully,2024-06-19,Mike R.
Echo Ventures,Social,2024-02-04,ESJ_Prospecting_Value_Dec23,Updated CPA target from $68 to $35,Daily budget adjusted from $200 to $300,91%,Under observation,2024-02-04,Alex K.
Vector Partners,Social,2024-01-21,NGX_Prospecting_Seasonal_Q224,Created 5 new ad variations for testing,Updated ad copy and CTAs,87%,Under observation,2024-01-21,Emma L.
Gamma Direct,Bing,2024-09-02,HP_Awareness_Special_Aug24,Adjusted daily budget from $226 to $490,Daily budget adjusted from $200 to $300,94%,Under observation,2024-09-02,Emma L.
Iris Group,Bing,2024-06-02,YC_Conversion_Premium_Q124,Paused ad group Group 5 due to high CPA,Created 3 new ad groups,99%,Under observation,2024-06-02,Emma L.
Echo Brand,Social,2023-12-24,BW_Prospecting_Value_Dec24,Adjusted Desktop device bid by 15%,Adjusted age targeting by +10%,96%,Implemented successfully,2023-12-24,Sarah M.
Nova Technologies,Bing,2024-02-14,BRI_Engagement_Special_Sep23,Adjusted Mobile device bid by -5%,"Previous bid: $1.50, New bid: $2.00",97%,Under observation,2024-02-14,Sarah M.
Omega Solutions,Bing,2024-10-01,TO_Engagement_Premium_Jul22,Created 4 new ad groups with focused keywords,Updated campaign targeting settings,93%,Implemented successfully,2024-10-01,Emma L.
Omega Solutions,SEM,2024-05-16,TO_Awareness_Value_May23,Updated CPA target from $22 to $37,Daily budget adjusted from $200 to $300,100%,Under observation,2024-05-16,John D.
Core Select,Bing,2024-06-12,WWJ_Engagement_Premium_May24,Paused creative Version 5 and launched new variant,Created 3 new ad variations,99%,Under observation,2024-06-12,Mike R.
